director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,rank,movie_facebook_likes,profit
Adam Jay Epstein,39,14095303,Drama|Mystery|Romance,Bruce Greenwood,Exotica ,14112,57,English,1800000,1993,8.9,16,619,12295303
Adam Marcus,184,21210,Comedy|Drama,Nia Long,Friday ,74626,199,English,100000000,1985,8.8,16,8000,-99978790
Adam McKay,265,10494147,Action|Crime|Thriller,Denzel Washington,The Taking of Pelham 1 2 3 ,149998,152,English,70000000,2012,8.8,16,0,-59505853
Adam McKay,108,82226474,Action|Fantasy,Jon Hamm,Sucker Punch ,197584,241,English,65000000,1995,8.8,16,42000,17226474
Adam McKay,175,47379090,Comedy|Fantasy|Romance,Judy Greer,What Women Want ,158864,467,English,60000000,2010,8.8,16,0,-12620910
Adam McKay,203,18821279,Biography|Comedy|Drama,Matt Price,Man on the Moon ,100743,533,English,16000000,2011,8.8,16,0,2821279
Adam McKay,36,75638743,Comedy|Family,Louise Bourgoin,Little Nicholas ,9214,124,English,25000000,2004,8.8,16,0,50638743
Adam McKay,242,93815117,Comedy|Drama|Family|Romance,Robin Williams,Mrs. Doubtfire ,181380,871,English,2000000,2003,8.8,16,0,91815117
Adam Rapp,33,4463292,Comedy|Drama,Kelli Garner,Thumbsucker ,18762,70,English,15000000,1998,8.7,16,708,-10536708
Adam Rifkin,69,28876924,Crime|Drama|Romance|Thriller,Josh Hutcherson,Escobar: Paradise Lost ,13762,115,English,80000000,2007,8.7,16,0,-51123076
Adam Rifkin,24,866778,Comedy|Romance,R. Brandon Johnson,What Happens in Vegas ,140740,16,English,70000000,2004,8.7,16,0,-69133222
Adam Shankman,155,41256277,Comedy|Drama|Romance,Jon Favreau,Four Christmases ,48500,269,English,68000000,2011,8.7,16,0,-26743723
Adam Shankman,122,16346122,Action|Adventure|Sci-Fi,Hugh Jackman,X-Men ,452928,713,English,48000000,1999,8.7,16,0,-31653878
Adam Shankman,76,4360548,Action|Thriller,Denzel Washington,The Siege ,58023,492,English,55000000,2011,8.7,16,0,-50639452
Adam Shankman,81,12055108,Comedy|Drama|Sci-Fi,Natascha McElhone,The Truman Show ,667983,353,English,27000000,2010,8.7,16,18000,-14944892
Adam Shankman,133,57176582,Comedy|Drama|Romance|Sport,Robert Baker,Leatherheads ,27664,143,English,19000000,1994,8.7,16,472,38176582
Adam Shankman,5,1943649,Biography|Drama|History,Terry Pheto,The Color of Freedom ,10175,62,English,6400000,2001,8.7,16,0,-4456351
Adam Shankman,98,28501651,Drama|Thriller|War,Michiel Huisman,Black Book ,59507,104,English,50000000,1992,8.7,16,0,-21498349
Adam Shankman,146,9016377,Comedy,John Michael Higgins,For Your Consideration ,12197,99,English,17000000,1981,8.7,16,650,-7983623
Adrian Lyne,310,1055654,Comedy|Romance,Bradley Cooper,Failure to Launch ,58412,560,English,13000000,2005,8.7,16,2000,-11944346
Adrian Lyne,146,350123553,Comedy|Drama|Romance,Craig T. Nelson,The Family Stone ,49077,45,English,5300000,2009,8.7,16,0,344823553
Adrian Lyne,172,51178893,Fantasy|Romance,Jennifer Jason Leigh,The Love Letter ,1465,53,English,500000,1988,8.6,16,515,50678893
Adrian Lyne,17,8427204,Action|Comedy|Crime|Thriller,Cary-Hiroyuki Tagawa,Showdown in Little Tokyo ,12561,71,English,10000000,2003,8.6,16,0,-1572796
Adrienne Shelly,90,48430,Comedy|Drama|Musical|Romance,Anna Kendrick,The Last Five Years ,6223,91,English,3500000,2005,8.6,16,0,-3451570
Agnieszka Holland,6,17613460,Action|Adventure|Animation|Comedy|Family,Jon Heder,Legend of Kung Fu Rabbit ,408,7,English,26000000,1969,8.6,16,211,-8386540
Agnieszka Wojtowicz-Vosloo,13,101055,Crime|Drama|Thriller,Viggo Mortensen,Albino Alligator ,6632,28,English,4000000,1976,8.6,16,225,-3898945
Agustín Díaz Yanes,222,37188667,Adventure|Animation|Sci-Fi,Shun Oguri,Harlock: Space Pirate ,8227,714,English,10000000,1983,8.6,16,0,27188667
Aki Kaurismäki,64,197992827,Horror|Thriller,Donald Pleasence,Halloween 5 ,22929,101,English,63000000,2014,8.6,16,926,134992827
Akira Kurosawa,248,51019112,Comedy|Drama,Charlize Theron,Young Adult ,64682,296,English,47000000,1977,8.6,16,0,4019112
Akira Kurosawa,271,5283379,Action|Drama|Thriller,Stana Roumillac,Snitch ,64748,174,English,105000000,2010,8.6,16,12000,-99716621
Akiva Goldsman,77,94900000,Adventure|Comedy|Drama|Music,Philip Seymour Hoffman,Almost Famous ,207287,74,English,2000000,2008,8.6,16,15000,92900000
Akiva Schaffer,304,25857987,Comedy,Robert Downey Jr.,Bowfinger ,56874,181,English,12500000,1999,8.6,16,0,13357987
Akiva Schaffer,33,28837115,Biography|Drama|History,Fanny Ardant,Elizabeth ,75973,159,English,8000000,1999,8.6,4,0,20837115
Akiva Schaffer,51,25003072,Comedy|Crime|Romance|Thriller,Philip Baker Hall,You Kill Me ,16224,113,English,13000000,2008,8.6,4,830,12003072
Al Franklin,75,20275446,Thriller,Vincent Chimato,Insomnia Manica ,16,511,English,90000000,2004,8.6,4,0,-69724554
Al Silliman Jr.,51,7764027,Comedy|Drama|Music|Romance,Devin Ratray,As It Is in Heaven ,13543,82,English,45000000,1996,8.6,4,0,-37235973
Alain Resnais,82,34604054,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,437418,495,French,2200000,2008,8.5,4,38000,32404054
Alan Alda,281,318759914,Crime|Horror,Sid Haig,The Devil's Rejects ,76267,324,English,8000000,2006,8.5,4,0,310759914
Alan Cohn,17,181015141,Action|Crime|Thriller,David Belle,District B13 ,55928,72,English,55000000,1977,8.5,4,0,126015141
Alan J. Pakula,66,96471845,Comedy|Drama|Sci-Fi,Robin Williams,Bicentennial Man ,87785,181,English,18000000,1982,8.5,2.76,0,78471845
Alan J. Pakula,144,57300000,Biography|Comedy|Drama,Rosie Perez,Riding in Cars with Boys ,22447,376,Russian,25000000,2007,8.5,2.76,0,32300000
Alan Jacobs,548,73215310,Action|Adventure|Drama,Christian Bale,Exodus: Gods and Kings ,128694,35,English,35000000,2009,8.5,2.76,51000,38215310
Alan Metter,126,20101861,Action|Romance|Thriller,Johnny Depp,The Tourist ,176606,26,English,10000000,1997,8.5,2.55,25000,10101861
Alan Parker,110,548712,Drama|Mystery|Thriller,Erika Christensen,Flightplan ,126746,95,English,23000000,1996,8.5,2.55,0,-22451288
Alan Parker,51,32853640,Drama|Romance|Sport,J.K. Simmons,For Love of the Game ,26034,33,English,155000000,2015,8.5,2.4,0,-122146360
Alan Parker,83,43568507,Action|Drama|History|War,Joseph Cotten,Tora! Tora! Tora! ,25019,114,English,150000000,1985,8.5,2.4,0,-106431493
Alan Poul,97,7739049,Adventure|Comedy|Family|Sci-Fi,Michael Angarano,Sky High ,61321,138,English,18000000,2001,8.5,2.4,0,-10260951
Alan Rudolph,433,130058047,Crime|Drama,Matt Damon,Rounders ,121676,123,English,14000000,2015,8.5,2.39,0,116058047
Alan Shapiro,38,8134217,Crime|Horror|Mystery|Thriller,LL Cool J,Mindhunters ,49405,52,English,80000000,2005,8.5,2.39,2000,-71865783
Alan Taylor,228,83348920,Action|Adventure|Sci-Fi,J.K. Simmons,Terminator Genisys ,188457,867,English,45000000,2010,8.5,2.39,82000,38348920
Alan Taylor,739,169076745,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,414070,532,English,2000000,2015,8.5,2.39,63000,167076745
Alan Yuen,131,10569071,Action|Drama|Sci-Fi|Thriller,Christian Bale,Equilibrium ,261317,138,English,40000000,2013,8.5,2.39,20000,-29430929
Albert Brooks,344,476270,Comedy|Crime,Greg Grunberg,Malibu's Most Wanted ,15939,279,English,68000000,1989,8.5,2.39,0,-67523730
Albert Hughes,215,106869,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Daredevil             ,213483,339,English,18000000,1999,8.5,2.39,55000,-17893131
Albert Hughes,77,43818159,Action|Comedy|Crime|Romance,Candice Bergen,Miss Congeniality ,137377,212,English,16000000,1996,8.5,2.39,0,27818159
Albert Hughes,51,7098492,Drama,Ellar Coltrane,Boyhood ,266020,37,English,12000000,1959,8.5,2.39,92000,-4901508
Alec Asten,18,14564027,Drama,Luke Grimes,Interview with the Assassin ,1661,576,English,132000000,1933,8.5,2.39,163,-117435973
Alejandro Agresti,191,1687311,Comedy|Crime,Chloë Grace Moretz,Big Momma's House 2 ,31968,344,English,35000000,2012,8.5,2.39,663,-33312689
Alejandro Amenábar,176,110332737,Action|Crime|Mystery|Sci-Fi|Thriller,Sylvester Stallone,Escape Plan ,177653,202,English,20000000,2011,8.5,2.39,34000,90332737
Alejandro Amenábar,45,175370,Comedy|Crime|Drama|Mystery|Romance,Martin Dew,Inherent Vice ,61935,25,English,21000000,2008,8.5,2.39,18000,-20824630
Alejandro Amenábar,11,129734803,Comedy|Romance,Alan Ruck,"I Love You, Beth Cooper ",28209,109,English,17000000,1964,8.4,2.39,0,112734803
Alejandro Amenábar,12,6712451,Action|Adventure|Drama,Sylvester Stallone,First Blood ,172493,31,English,1000000,2010,8.4,2.39,0,5712451
Alejandro G. Iñárritu,556,55092830,Adventure|Family|Fantasy,Mark Rylance,The BFG ,12572,106,English,19000000,2013,8.4,2.35,27000,36092830
Alejandro G. Iñárritu,57,17305211,Comedy|Family,Brendan Fraser,Furry Vengeance ,12399,82,English,2000000,2006,8.4,2.35,0,15305211
Alejandro G. Iñárritu,253,3254172,Horror|Mystery|Thriller,Mackenzie Foy,The Conjuring ,300110,144,English,2500000,2008,8.4,2.35,131000,754172
Alejandro G. Iñárritu,31,3000000,Drama|Thriller,Tom Wilkinson,The Debt ,55441,189,English,5000000,2008,8.4,2.35,0,-2000000
Alejandro G. Iñárritu,252,191309,Comedy|Romance,Taran Killam,Just Married ,57479,902,English,140000000,2006,8.4,2.35,0,-139808691
Alejandro G. Iñárritu,54,434417,Action|Adventure|Comedy,Jack Kao,Silver Medallist ,1418,92,English,135000000,2003,8.4,2.35,30,-134565583
Alejandro Monteverde,107,38232624,Crime|Documentary|News,Ronald Reagan,Capitalism: A Love Story ,35137,81,English,12000000,2006,8.4,2.35,10000,26232624
Alejandro Monteverde,3,25753840,Biography|Drama,Keanu Reeves,The Last Time I Committed Suicide ,1686,53,English,200000,2008,8.4,2.35,161,25553840
Aleksandr Veledinskiy,154,91121452,Action|Crime|Drama|Thriller,Fabian Bolin,Easy Money ,13443,310,English,1000000,2007,8.4,2.35,0,90121452
Aleksey German,79,27736779,Action|Adventure|Fantasy|Sci-Fi|Thriller,George Coe,The Omega Code ,4682,241,English,137000000,2014,8.4,2.35,129,-109263221
Alessandro Carloni,432,21005329,Action|Adventure|Animation|Comedy|Family,J.K. Simmons,Kung Fu Panda 3 ,64322,145,English,126000000,2011,8.4,2.35,24000,-104994671
Alex Cox,2,26536120,Horror,Mackenzie Gray,Grave Encounters ,40380,31,English,50000000,2013,8.4,2.35,0,-23463880
Alex Craig Mann,53,13264986,Thriller,Allison Dean,Crying with Laughter ,190,157,English,15000000,2014,8.4,2.35,33,-1735014
Alex Garland,129,16027866,Biography|Drama,Emmanuelle Seigner,The Diving Bell and the Butterfly ,89906,27,English,26000000,2014,8.4,2.35,13000,-9972134
Alex Gibney,9,54322273,Action|Romance|Thriller,Zuhair Haddad,The Algerian ,101,780,English,500000,2013,8.4,2.35,221,53822273
Alex Kendrick,65,40542,Horror|Thriller,Judie Aronson,Friday the 13th: The Final Chapter ,29488,47,Mandarin,1200000,1998,8.4,2.35,0,-1159458
Alex Kendrick,115,137748063,Horror|Thriller,Magi Avila,Black Rock ,6531,3,English,60000000,2011,8.4,2.35,0,77748063
Alex Kendrick,17,125332007,Drama|Musical|Romance,Matt Damon,Bizarre ,569,150,English,9000000,1987,8.4,2.35,114,116332007
Alex Kendrick,1,73023275,Drama|Fantasy,Mia Farrow,Ordet ,9903,329,English,32000000,2014,8.4,2.35,863,41023275
Alex Proyas,145,10654581,Action|Adventure|Fantasy,Gerard Butler,Gods of Egypt ,51892,273,English,20000000,2005,8.4,2.35,24000,-9345419
Alex Proyas,109,1646664,Biography|Drama|Sport,Will Smith,Ali ,79186,386,English,20000000,2005,8.4,2.35,0,-18353336
Alex Proyas,169,32940507,Comedy|Romance,Steve Buscemi,Mr. Deeds ,110432,849,English,11000000,2005,8.4,2.35,0,21940507
Alex Proyas,88,104077,Action|Adventure|Fantasy|Thriller,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant ,35990,147,English,7000000,2009,8.4,2.35,0,-6895923
Alex Proyas,21,13493,Comedy|Fantasy|Romance,Samaire Armstrong,Just My Luck ,44103,71,English,70000000,1985,8.4,2.35,0,-69986507
Alex Ranarivelo,80,2245,Comedy,George C. Scott,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,342585,28,English,35000000,1966,8.4,2.35,18000,-34997755
Alex Rivera,23,1316074,Crime|Drama|Thriller,George Kennedy,The Gambler ,48562,39,English,21000000,2016,8.4,2.35,0,-19683926
Alex Smith,114,7137502,Crime|Drama|Thriller,Tommy O'Reilly,London to Brighton ,7308,30,English,16000000,2012,8.4,2.35,933,-8862498
Alex van Warmerdam,104,2975649,Comedy,Donald Faison,Trippin' ,1004,109,English,2000000,2013,8.3,2.35,143,975649
Alex Zamm,208,1071240,Comedy|Family|Romance,Saif Ali Khan,Ta Ra Rum Pum ,2909,206,English,127500000,2002,8.3,2.35,108,-126428760
Alexander Payne,114,13034417,Comedy|Drama,Steve Buscemi,Big Daddy ,161858,391,English,110000000,2012,8.3,2.35,0,-96965583
Alexander Payne,168,102413606,Comedy|Romance,Ornella Muti,To Rome with Love ,67893,928,English,35000000,2010,8.3,2.35,18000,67413606
Alexander Payne,148,100358,Action|Crime|Thriller,Rebecca Budig,Getaway ,19586,118,English,4000000,1978,8.3,2.35,4000,-3899642
Alexander Payne,24,10018,Fantasy|Horror|Thriller,Ed Begley Jr.,Cat People ,14193,48,English,20000000,2006,8.3,2.35,0,-19989982
Alexander Payne,142,51431160,Biography|Comedy|Drama|Family|Romance,Noah Taylor,Red Dog ,13003,76,English,2627000,2013,8.3,2.35,10000,48804160
Alexander Witt,156,7757130,Drama|Thriller,Matt Damon,Syriana ,109188,219,English,2000000,2003,8.3,2.35,0,5757130
Alexandre Aja,61,11634362,Comedy,Chloë Grace Moretz,Neighbors 2: Sorority Rising ,28041,306,English,1800000,1990,8.3,2.35,0,9834362
Alexandre Aja,118,466702,Crime|Drama|Mystery|Romance,Jim Sturgess,The Best Offer ,69676,22,English,1800000,1998,8.3,2.35,31000,-1333298
Alexandre Aja,292,7927,Action|Crime|Thriller,Tom Hardy,RocknRolla ,194489,155,English,500000,2015,8.3,2.35,12000,-492073
Alexandre Aja,73,82389560,Comedy|Drama|Family|Sport,Kevin Zegers,Air Bud ,12942,137,English,312000,1959,8.3,2.35,902,82077560
Alfonso Cuarón,274,3629758,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintin ,177383,447,English,500000,2008,8.3,2.35,44000,3129758
Alfonso Cuarón,738,21994911,Action|Adventure|Comedy|Sci-Fi,Noel Fisher,Teenage Mutant Ninja Turtles ,167085,491,English,27000000,1997,8.3,2.35,62000,-5005089
Alfonso Cuarón,185,49000,Action|Adventure|Fantasy|Sci-Fi,Jason Flemyng,The League of Extraordinary Gentlemen ,141533,284,English,1200000,2008,8.3,2.35,0,-1151000
Alfonso Cuarón,24,449558,Action|Comedy,Asin,Khiladi 786 ,4633,314,English,60000000,1988,8.3,2.35,365,-59550442
Alfred Hitchcock,285,323505540,Crime|Drama|Thriller,Violante Placido,The American ,79461,187,English,8600000,2014,8.3,2.35,10000,314905540
Alfred Hitchcock,48,122288,Comedy|Drama,Zoë Kravitz,Treading Water ,421,454,English,180000,2003,8.3,2.35,199,-57712
Alfred Hitchcock,121,379122,Drama|Romance|Western,Montgomery Clift,The Misfits ,12981,177,English,15000000,1998,8.3,2.35,0,-14620878
Alfred Hitchcock,127,30857814,Comedy,Peter Graves,Airplane! ,160281,83,English,35000000,2005,8.3,2.35,16000,-4142186
Alfred Hitchcock,33,83287363,Crime|Drama|Thriller,Jada Pinkett Smith,Menace II Society ,39508,452,English,1800000,2009,8.3,2.35,0,81487363
Alfred Hitchcock,38,623279547,Thriller,Frances Fisher,Plush ,2895,9,English,10000,1984,8.3,2.35,604,623269547
Alfred Hitchcock,22,154985087,Horror,Matthew Alan,Living Dark: The Story of Ted the Caver ,28,150,Hindi,2000000,2012,8.3,2.35,73,152985087
Alfred Hitchcock,75,80281096,Comedy|Drama|Romance,Ohad Knoller,The Bubble ,4702,408,English,4000000,1992,8.3,2.35,0,76281096
Alice Wu,4,150315155,Comedy|Drama|Horror,Johnny Depp,Tusk ,31089,54,English,2000000,2013,8.3,2.35,20000,148315155
Alison Maclean,175,6109075,Comedy|Documentary,Eddie Griffin,DysFunktional Family ,761,112,English,20000000,2003,8.3,2.35,26,-13890925
Alister Grierson,253,26442251,Comedy|Drama|Family,Haley Joel Osment,Secondhand Lions ,43378,216,English,12000000,2012,8.3,2.35,0,14442251
Allan Arkush,211,59699513,Action|Comedy|Crime,Jada Pinkett Smith,A Low Down Dirty Shame ,3924,126,English,3000000,2015,8.3,2.35,368,56699513
Allan Dwan,97,766487,Adventure|Comedy|Horror,Zak Penn,Incident at Loch Ness ,3291,19,English,3000000,2012,8.3,2.35,400,-2233513
Allen Coulter,106,43575716,Comedy|Music,Judy Greer,American Dreamz ,22639,28,English,18000000,1988,8.3,2.35,300,25575716
Allen Hughes,193,66676062,Comedy|Drama|Family|Sport,Tatum O'Neal,The Bad News Bears ,16323,282,English,6000000,2012,8.3,2.35,0,60676062
Allison Anders,283,45290318,Crime|Drama,William Kircher,Out of the Blue ,2776,208,English,6000000,1996,8.3,2.35,285,39290318
Allison Anders,72,18081626,Documentary,Emma Caulfield,The Outrageous Sophie Tucker ,38,147,English,2000000,2007,8.3,2.35,16,16081626
Allison Burnett,185,66950483,Horror|Mystery|Thriller,Patrick Macnee,Unfriended ,44329,290,Japanese,7000000,2011,8.3,2.35,13000,59950483
Amal Al-Agroobi,4,7060876,Drama|Sport,Sylvester Stallone,Fighting Tommy Riley ,720,138,English,75000000,2007,8.3,2.35,30,-67939124
Amanda Gusack,34,45670855,Documentary|Music,Collin Alfredo St. Dic,Samsara ,22457,53,French,15000000,2015,8.3,2.35,26000,30670855
Amat Escalante,30,1445366,Thriller,Christie Burke,Below Zero ,652,32,English,17000000,2006,8.3,2.35,161,-15554634
Amy Heckerling,190,5132655,Crime|Drama|Romance|Thriller,Jason Statham,The Bank Job ,152247,136,English,15500000,1965,8.3,2.35,0,-10367345
Amy Heckerling,178,5108820,Drama,Frances Fisher,House of Sand and Fog ,56665,302,English,45000000,2013,8.3,2.35,0,-39891180
Amy Heckerling,17,460935665,Comedy|Romance,Julia Roberts,Pretty Woman ,213476,268,English,220000000,2000,8.2,2.35,11000,240935665
Amy Heckerling,204,16842303,Drama|Mystery|Sci-Fi,Kevin Spacey,Moon ,260607,265,English,185000000,2000,8.2,2.35,47000,-168157697
Amy Holden Jones,2,15281286,Comedy|Music,Katie Aselton,Steppin: The Movie ,293,64,English,75000000,1974,8.2,2.35,41,-59718714
Analeine Cal y Mayor,109,36447959,Action|Drama|War,Harrison Ford,Force 10 from Navarone ,13587,41,English,45000000,1980,8.2,2.35,729,-8552041
Anand Tucker,9,16671505,Drama|Romance,Brad Pitt,By the Sea ,7976,46,English,23000000,2011,8.2,2.35,0,-6328495
Anand Tucker,54,107458785,Drama|Music|Romance,Mariah Carey,Glitter ,19412,47,Hindi,49900000,2013,8.2,2.35,0,57558785
Anand Tucker,55,56876365,Action|Crime|Drama|Thriller,Nick Wechsler,The Player             ,5817,1061,English,35000000,2008,8.2,2.35,0,21876365
André Øvredal,43,19294901,Comedy,Catherine O'Hara,Waiting for Guffman ,22697,71,None,6000000,2004,8.2,2.35,0,13294901
André Téchiné,56,336530303,Comedy,John Witherspoon,Next Friday ,27492,344,French,70000000,2004,8.2,2.35,0,266530303
Andrés Couturier,113,140080850,Action|Sci-Fi|Thriller,Bob Neill,Red Planet ,47612,64,French,57000000,1994,8.2,2.35,995,83080850
Andrés Muschietti,42,176740650,Comedy|Crime|Mystery,Will Ferrell,Drowning Mona ,11768,261,English,42000000,2013,8.2,2.35,492,134740650
Andrea Arnold,215,25000000,Drama|Romance,Murray Bartlett,August ,1262,458,English,20000000,2012,8.2,2.35,224,5000000
Andrea Di Stefano,239,18434,Action|Horror,Jason Momoa,Wolves ,5693,17,English,28000000,2008,8.2,2.35,0,-27981566
Andrei Tarkovsky,233,20315324,Action|Crime|Drama|Sci-Fi|Thriller,Hugh Jackman,Chappie ,172965,397,English,14000000,1996,8.2,2.35,67000,6315324
Andrew Adamson,703,33828318,Action|Adventure|Family|Fantasy,Peter Dinklage,The Chronicles of Narnia: Prince Caspian ,149922,438,English,18000000,2012,8.2,2.35,0,15828318
Andrew Adamson,396,28501651,Adventure|Family|Fantasy,Jim Broadbent,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1463,English,3000000,2016,8.2,2.35,0,25501651
Andrew Adamson,109,2508841,Adventure|Animation|Comedy,Albert Brooks,The Simpsons Movie ,259083,376,English,500000,1999,8.2,2.35,0,2008841
Andrew Adamson,238,37760080,Drama|History|Thriller,Jennifer Ehle,Zero Dark Thirty ,216032,483,English,20000000,1991,8.2,2.35,39000,17760080
Andrew Adamson,111,53574088,Action|Crime|Mystery|Romance|Thriller,Natasha Henstridge,Maximum Risk ,15814,174,English,14600000,2008,8.2,2.35,503,38974088
Andrew Berends,15,10956379,Action|Thriller,Tatyana Ali,Royal Kill ,476,36,English,12000000,1964,8.2,2.35,53,-1043621
Andrew Bergman,228,16647384,Comedy,Alyson Hannigan,American Reunion ,172112,279,English,5000000,2010,8.2,2.35,39000,11647384
Andrew Bergman,139,56692,Comedy|Drama|Romance,Anna Kendrick,What to Expect When You're Expecting ,57266,545,English,15000000,2003,8.2,2.35,14000,-14943308
Andrew Bujalski,18,64371181,Documentary,William Joseph Elk III,Short Cut to Nirvana: Kumbh Mela ,131,32,English,25000000,1971,8.2,2.35,30,39371181
Andrew Bujalski,171,25296447,Documentary|History|Music,Melanie Papalia,Call + Response ,48,130,English,50000000,2009,8.2,2.35,26,-24703553
Andrew Currie,99,44737059,Action|Drama|Family|Sport,Martin Kove,The Karate Kid ,126916,201,English,40000000,2006,8.2,2.35,0,4737059
Andrew Davis,98,191449475,Action|Crime|Thriller,Amber Stevens West,The Fast and the Furious: Tokyo Drift ,179500,78,English,34000000,2012,8.2,2.35,0,157449475
Andrew Davis,118,17791031,Comedy|Family|Fantasy,Madeline Carroll,Mr. Popper's Penguins ,67191,279,English,35000000,2004,8.2,2.35,14000,-17208969
Andrew Davis,82,5516708,Action|Comedy|Crime|Drama|Thriller,Alexa PenaVega,The Glimmer Man ,15455,81,English,258000000,1996,8.2,2.35,451,-252483292
Andrew Davis,60,94497271,Action|Adventure|Thriller,Clint Eastwood,Firefox ,19832,199,English,200000000,2013,8.2,2.35,0,-105502729
Andrew Dominik,154,5702083,Comedy|Crime|Thriller,Bruce Willis,The Whole Ten Yards ,45775,269,English,93000000,2009,8.2,2.35,462,-87297917
Andrew Dominik,138,9166863,Adventure|Comedy|Family|Music|Romance,Clayton Snyder,The Lizzie McGuire Movie ,27580,207,English,180000,2001,8.2,2.35,0,8986863
Andrew Douglas,29,55585389,Action|Comedy|Crime|Fantasy|Horror|Mystery|Sci-Fi|Thriller,Marco St. John,Dylan Dog: Dead of Night ,13026,36,English,8000000,2005,8.2,2.35,0,47585389
Andrew Erwin,83,144156464,Drama,Hayden Christensen,90 Minutes in Heaven ,2047,158,English,6000000,2002,8.2,2.35,0,138156464
Andrew Erwin,19,66207920,Comedy|Crime,Jason Statham,"Lock, Stock and Two Smoking Barrels ",414976,46,English,85000000,2011,8.2,2.35,21000,-18792080
Andrew Fleming,61,41543207,Drama|Mystery|Thriller,Nia Long,Premonition ,62364,383,English,55000000,2010,8.2,2.35,0,-13456793
Andrew Fleming,55,34912982,Drama,Oprah Winfrey,The Color Purple ,60988,84,English,12500000,2010,8.2,2.35,6000,22412982
Andrew Fleming,107,51097664,Biography|Crime|Drama|War,Sebastian Koch,Amen. ,11077,2254,English,2160000,2001,8.2,2.35,0,48937664
Andrew Fleming,15,32131830,Drama|Music,Shane Pollard,You Got Served: Beat the World ,1642,27,Icelandic,70000000,2001,8.2,2.35,0,-37868170
Andrew Haigh,71,64736114,Action|Adventure|Drama|Sci-Fi,Jack Warden,Revolution             ,72017,112,French,48000000,2011,8.2,2.35,17000,16736114
Andrew Hyatt,304,80197993,Action|Comedy|Horror|Sci-Fi,Luis Sanchez,The Toxic Avenger ,19253,1189,English,32000000,2006,8.2,2.35,0,48197993
Andrew Jarecki,53,31768374,Action|Crime|Thriller,Aisha Tyler,Death Sentence ,60156,129,English,25000000,2008,8.2,2.35,0,6768374
Andrew Leman,26,23618786,Drama|Romance|War,Mark Fantasia,The Big Parade ,4849,18,English,25000000,2013,8.1,2.35,226,-1381214
Andrew Morahan,95,27441122,Comedy|Drama|Family,Oliver Platt,Martian Child ,17436,103,English,24000000,1997,8.1,2.35,0,3441122
Andrew Niccol,124,2203641,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Resident Evil: Apocalypse ,151580,259,English,22000000,2002,8.1,2.35,0,-19796359
Andrew Niccol,56,21520719,Action|Crime|Drama|Thriller,Morgan Freeman,Unleashed ,85198,403,English,55000000,2012,8.1,2.35,0,-33479281
